group,signal,kind,left,right,rows,flight_weight
KRDU/train,raw,heading_deg,-8.0,-6.0,3176,16.587471535301574
KRDU/train,raw,heading_deg,-6.0,-4.0,4414,23.605557590814442
KRDU/train,raw,heading_deg,-4.0,-2.0,11026,61.07047852356368
KRDU/train,raw,heading_deg,-2.0,0.0,379408,2336.3815711464185
KRDU/train,raw,heading_deg,0.0,2.0,310755,1858.1523775760484
KRDU/train,raw,heading_deg,2.0,4.0,10788,57.55561299037072
KRDU/train,raw,heading_deg,4.0,6.0,5841,31.308350873232484
KRDU/train,raw,heading_deg,6.0,8.0,4337,23.46784308685892
KRDU/train,raw,heading_deg,8.0,10.0,3564,19.130659969536282
KRDU/train,raw,heading_deg,10.0,12.0,3075,16.41202531858289
KRDU/train,raw,heading_deg,12.0,14.0,2862,15.21692441606865
KRDU/train,raw,heading_deg,14.0,16.0,2692,14.048303419711374
KRDU/train,raw,heading_deg,16.0,18.0,2471,12.955463841115488
KRDU/train,raw,heading_deg,18.0,20.0,2632,13.761706816172591
KRDU/train,raw,heading_deg,20.0,22.0,2744,14.26951998675031
KRDU/train,raw,heading_deg,22.0,24.0,3373,19.0312323309945
KRDU/train,raw,heading_deg,24.0,26.0,4010,22.834826490684463
KRDU/train,raw,heading_deg,26.0,28.0,3917,21.790707532555643
KRDU/train,raw,heading_deg,28.0,30.0,4091,23.414702983575808
KRDU/train,raw,heading_deg,30.0,32.0,4891,28.399646130439578
KRDU/train,raw,heading_deg,32.0,34.0,4226,22.794301999116215
KRDU/train,raw,heading_deg,34.0,36.0,5564,30.9903179963394
KRDU/train,raw,heading_deg,36.0,38.0,5028,26.96667683916712
KRDU/train,raw,heading_deg,38.0,40.0,3534,18.628493553079352
KRDU/train,raw,heading_deg,40.0,42.0,2730,14.085787972962862
KRDU/train,raw,heading_deg,42.0,44.0,2475,12.950745426477624
KRDU/train,raw,heading_deg,44.0,46.0,2406,12.95205152712424
KRDU/train,raw,heading_deg,46.0,48.0,2277,11.950050747730529
KRDU/train,raw,heading_deg,48.0,50.0,2514,14.07935740882749
KRDU/train,raw,heading_deg,50.0,52.0,2108,11.063847678176899
KRDU/train,raw,heading_deg,52.0,54.0,2521,14.060806423807662
KRDU/train,raw,heading_deg,54.0,56.0,3576,21.26795940707416
KRDU/train,raw,heading_deg,56.0,58.0,3537,20.79268358974514
KRDU/train,raw,heading_deg,58.0,60.0,2957,17.045146332678996
KRDU/train,raw,heading_deg,60.0,62.0,2246,12.111280025186716
KRDU/train,raw,heading_deg,62.0,64.0,2648,14.798945277590065
KRDU/train,raw,heading_deg,64.0,66.0,3318,19.78671804094847
KRDU/train,raw,heading_deg,66.0,68.0,3584,21.164593246153345
KRDU/train,raw,heading_deg,68.0,70.0,3160,18.471906312135616
KRDU/train,raw,heading_deg,70.0,72.0,2749,15.784857294304857
KRDU/train,raw,heading_deg,72.0,74.0,3150,18.27324766698075
KRDU/train,raw,heading_deg,74.0,76.0,2248,12.362807040856751
KRDU/train,raw,heading_deg,76.0,78.0,1851,9.384534228642224
KRDU/train,raw,heading_deg,78.0,80.0,1310,5.769036095774936
KRDU/train,raw,heading_deg,80.0,82.0,1023,4.136231189853788
KRDU/train,raw,heading_deg,82.0,84.0,975,3.5787891799091085
KRDU/train,raw,heading_deg,84.0,86.0,1046,3.815345150034773
KRDU/train,raw,heading_deg,86.0,88.0,1173,4.378116338577456
KRDU/train,raw,heading_deg,88.0,90.0,1578,5.973394255681342
KRDU/train,raw,heading_deg,90.0,92.0,1883,6.563276133527324
KRDU/train,raw,heading_deg,92.0,94.0,3208,11.076096024247818
KRDU/train,raw,heading_deg,94.0,96.0,5237,18.84414994146846
KRDU/train,raw,heading_deg,96.0,98.0,4437,15.49469333469915
KRDU/train,raw,heading_deg,98.0,100.0,2923,9.730459788766893
KRDU/train,raw,heading_deg,100.0,102.0,2400,8.034561746670988
KRDU/train,raw,heading_deg,102.0,104.0,2377,8.023392579722895
KRDU/train,raw,heading_deg,104.0,106.0,1306,4.4855255861948535
KRDU/train,raw,heading_deg,106.0,108.0,1184,4.000254175382906
KRDU/train,raw,heading_deg,108.0,110.0,1026,3.4384094814586206
KRDU/train,raw,heading_deg,110.0,112.0,971,3.3250844591448185
KRDU/train,raw,heading_deg,112.0,114.0,949,3.324132501330496
KRDU/train,raw,heading_deg,114.0,116.0,1176,4.434231148969957
KRDU/train,raw,heading_deg,116.0,118.0,891,3.12968816373359
KRDU/train,raw,heading_deg,118.0,120.0,852,3.009032826440489
KRDU/train,raw,heading_deg,120.0,122.0,862,2.8865203576024214
KRDU/train,raw,heading_deg,122.0,124.0,928,3.1326052470913055
KRDU/train,raw,heading_deg,124.0,126.0,921,3.402245847327322
KRDU/train,raw,heading_deg,126.0,128.0,906,3.1087694773359544
KRDU/train,raw,heading_deg,128.0,130.0,982,3.4430298749439316
KRDU/train,raw,heading_deg,130.0,132.0,900,3.114771782279604
KRDU/train,raw,heading_deg,132.0,134.0,1067,3.9526008030952653
KRDU/train,raw,heading_deg,134.0,136.0,1444,5.5815703668413335
KRDU/train,raw,heading_deg,136.0,138.0,988,3.459484766908645
KRDU/train,raw,heading_deg,138.0,140.0,958,3.27691264087116
KRDU/train,raw,heading_deg,140.0,142.0,5847,19.370444172164753
KRDU/train,raw,heading_deg,142.0,144.0,5242,17.679820028663926
KRDU/train,raw,heading_deg,144.0,146.0,2140,7.344993300382157
KRDU/train,raw,heading_deg,146.0,148.0,1609,5.412566458573565
KRDU/train,raw,heading_deg,148.0,150.0,1360,4.525361020429045
KRDU/train,raw,heading_deg,150.0,152.0,1241,4.133421149850619
KRDU/train,raw,heading_deg,152.0,154.0,1928,6.482681566465544
KRDU/train,raw,heading_deg,154.0,156.0,1582,5.2856585573554185
KRDU/train,raw,heading_deg,156.0,158.0,1523,5.058959397018043
KRDU/train,raw,heading_deg,158.0,160.0,1571,5.128981144780482
KRDU/train,raw,heading_deg,160.0,162.0,1514,4.972322429531232
KRDU/train,raw,heading_deg,162.0,164.0,2131,7.315789168826996
KRDU/train,raw,heading_deg,164.0,166.0,1756,5.82641220446294
KRDU/train,raw,heading_deg,166.0,168.0,1604,5.372996318093101
KRDU/train,raw,heading_deg,168.0,170.0,1835,6.144437249573457
KRDU/train,raw,heading_deg,170.0,172.0,26786,87.66999476258934
KRDU/train,raw,heading_deg,172.0,174.0,3935,12.812693692675566
KRDU/train,raw,heading_deg,174.0,176.0,3656,11.86722457543874
KRDU/train,raw,heading_deg,176.0,178.0,7638,25.35953331397377
KRDU/train,raw,heading_deg,178.0,180.0,84048,277.18610738029474
KRDU/train,raw,speed_mps,30.0,32.0,0,0.0
KRDU/train,raw,speed_mps,32.0,34.0,0,0.0
KRDU/train,raw,speed_mps,34.0,36.0,1,0.006756756756756757
KRDU/train,raw,speed_mps,36.0,38.0,0,0.0
KRDU/train,raw,speed_mps,38.0,40.0,0,0.0
KRDU/train,raw,speed_mps,40.0,42.0,1,0.006944444444444444
KRDU/train,raw,speed_mps,42.0,44.0,1,0.006756756756756757
KRDU/train,raw,speed_mps,44.0,46.0,0,0.0
KRDU/train,raw,speed_mps,46.0,48.0,13,0.0772074807070723
KRDU/train,raw,speed_mps,48.0,50.0,40,0.23302858270952395
KRDU/train,raw,speed_mps,50.0,52.0,136,0.777891250165551
KRDU/train,raw,speed_mps,52.0,54.0,456,2.5210096316285364
KRDU/train,raw,speed_mps,54.0,56.0,973,5.487382446562339
KRDU/train,raw,speed_mps,56.0,58.0,1933,10.838132053818455
KRDU/train,raw,speed_mps,58.0,60.0,4990,27.167944930254926
KRDU/train,raw,speed_mps,60.0,62.0,10789,58.24957204817515
KRDU/train,raw,speed_mps,62.0,64.0,19849,109.97777664944851
KRDU/train,raw,speed_mps,64.0,66.0,29594,164.48377972786625
KRDU/train,raw,speed_mps,66.0,68.0,40681,226.28601267486482
KRDU/train,raw,speed_mps,68.0,70.0,51976,294.96088838992034
KRDU/train,raw,speed_mps,70.0,72.0,55994,319.06276532916536
KRDU/train,raw,speed_mps,72.0,74.0,54990,316.1353358406334
KRDU/train,raw,speed_mps,74.0,76.0,51760,300.19389729045724
KRDU/train,raw,speed_mps,76.0,78.0,45224,263.90924703428686
KRDU/train,raw,speed_mps,78.0,80.0,37601,220.1608345462164
KRDU/train,raw,speed_mps,80.0,82.0,34298,198.98913342825153
KRDU/train,raw,speed_mps,82.0,84.0,33696,193.78385026712067
KRDU/train,raw,speed_mps,84.0,86.0,34893,199.51118527694507
KRDU/train,raw,speed_mps,86.0,88.0,37146,211.70747815419008
KRDU/train,raw,speed_mps,88.0,90.0,41017,235.04943746738127
KRDU/train,raw,speed_mps,90.0,92.0,42055,239.6553500982841
KRDU/train,raw,speed_mps,92.0,94.0,41802,237.23726010290375
KRDU/train,raw,speed_mps,94.0,96.0,38075,214.97062286463733
KRDU/train,raw,speed_mps,96.0,98.0,34924,196.24680645159924
KRDU/train,raw,speed_mps,98.0,100.0,30925,171.59864491855387
KRDU/train,raw,speed_mps,100.0,102.0,28545,155.7393410793684
KRDU/train,raw,speed_mps,102.0,104.0,25415,136.88729961348963
KRDU/train,raw,speed_mps,104.0,106.0,23798,126.47324656541787
KRDU/train,raw,speed_mps,106.0,108.0,24708,128.02503174198137
