# source: ICAO Aircraft Engine Emissions Databank, issue 32 (20 March 2026), EASA-hosted, sheet 'Gaseous Emissions and Smoke'
# file edb-emissions-databank_v32__web_.xlsx sha256 57a9ff572458ad3a3141afc1aea932b5faa5796d279f0ac74600b27869302530
# engine designations per type: EASA TCDSN via the ANP substitution table 'by aircraft configuration' (ENGINE_TYPE column), else APD 'Power plant'
# match = exact designation (after removing a trailing '(...)' installation suffix); family = hand-checked reading, see README
typecode,engine_designation,match,UID No,Engine Identification,Rated Thrust (kN),Eng Type,B/P Ratio,Data Superseded,Current Engine Status
BCS3,PW1521G-3/PW1524G-3 (TCDSN) -> EDB PW1521G / PW1524G,family,16PW112,PW1521G,97.72,TF,11.37,,Out of production
BCS3,PW1521G-3/PW1524G-3 (TCDSN) -> EDB PW1521G / PW1524G,family,04P20PW197,PW1521G,97.72,TF,11.37,,
BCS3,PW1521G-3/PW1524G-3 (TCDSN) -> EDB PW1521G / PW1524G,family,16PW111,PW1524G,108.53,TF,11.05,,Out of production
BCS3,PW1521G-3/PW1524G-3 (TCDSN) -> EDB PW1521G / PW1524G,family,04P20PW196,PW1524G,108.53,TF,11.05,,
BE40,JT15D-5,exact,1PW037,"JT15D-5, -5A, -5B",12.9,TF,2.1,,Out of production
C560,JT15D-5A,exact,1PW037,"JT15D-5, -5A, -5B",12.9,TF,2.1,,Out of production
C750,AE3007 C,exact,8AL025,AE3007C,29.62,MTF,5.2,,Out of production
C750,AE3007 C,exact,6AL022,AE3007C,29.62,MTF,5.2,,Out of production
C750,AE3007 C1,exact,6AL023,AE3007C1,31.46,MTF,5.0999999999999996,,Out of production
C750,AE3007 C1,exact,6AL024,AE3007C1,31.46,MTF,5.0999999999999996,,Out of production
CL30,AS907-1-1A,exact,11HN003,HTF7000 (AS907-1-1A),30.62,MTF,4.2,,Out of production
CL30,AS907-2-1A,exact,01P14HN011,AS907-2-1A (HTF7350),33,MTF,4.2,,
CL35,HTF7350,exact,01P14HN011,AS907-2-1A (HTF7350),33,MTF,4.2,,
CL60,CF34-3A,exact,1GE034,CF34-3A,41.01,TF,6.25,,Out of production
CL60,CF34-3A,exact,07P05GE220,CF34-3A/A1/A2/B1/B2,41.01,TF,6.25,,
CL60,CF34-3A1,exact,1GE035,CF34-3A1,41.01,TF,6.25,,Out of production
CL60,CF34-3B,exact,5GE084,CF34-3B,41.01,TF,6.25,Yes,
CL60,CF34-3B,exact,01P05GE189,CF34-3B/-3B1,41.01,TF,6.25,Yes,
CRJ1,CF34-3A1,exact,1GE035,CF34-3A1,41.01,TF,6.25,,Out of production
CRJ1,CF34-3B1,exact,01P05GE189,CF34-3B/-3B1,41.01,TF,6.25,Yes,
CRJ2,CF34-3B1,exact,01P05GE189,CF34-3B/-3B1,41.01,TF,6.25,Yes,
CRJ7,CF34-8C1,exact,5GE083,CF34-8C1,56.36,TF,5.13,,Out of production
CRJ7,CF34-8C5B1,exact,07P27GE223,"CF34-8C5B1, CF34-8C5B1/B",56.353195981120003,TF,4.9177999999999997,,Out of production
E135,AE3007 A1/3,exact,6AL011,AE3007A1/3,33.049999999999997,MTF,4.8099999999999996,,Out of production
E135,AE3007 A1/3,exact,6AL012,AE3007A1/3,33.049999999999997,MTF,4.8099999999999996,,Out of production
E135,AE3007 A1/3,exact,01P06AL030,AE3007A1/3,33.049999999999997,MTF,4.8099999999999996,,Out of production
E135,AE3007 A1E,exact,01P06AL032,AE3007A1E,37.159999999999997,MTF,4.72,,Out of production
E135,AE3007 A1P,exact,6AL014,AE3007A1P,34.74,MTF,4.7699999999999996,,Out of production
E135,AE3007 A1P,exact,6AL015,AE3007A1P,34.74,MTF,4.7699999999999996,,Out of production
E135,AE3007 A1P,exact,01P06AL031,AE3007A1P,34.74,MTF,4.7699999999999996,,Out of production
E135,AE3007 A2,exact,01P10AL033,AE3007A2,42.23,MTF,4.79,,Out of production
E135,AE3007 A3,exact,6AL017,AE3007A3,33,MTF,4.72,,Out of production
E135,AE3007 A3,exact,6AL018,AE3007A3,33,MTF,4.72,,Out of production
E135,AE3007 A3,exact,01P06AL034,AE3007A3,33,MTF,4.72,,Out of production
E545,AS-907-3-1E (TCDSN) -> EDB AS907-3-1E-A1/-A2/-A3 (HTF7500E),family,01P14HN014,AS907-3-1E-A1 (HTF7500E),29.4,MTF,4.2,,
E545,AS-907-3-1E (TCDSN) -> EDB AS907-3-1E-A1/-A2/-A3 (HTF7500E),family,01P14HN015,AS907-3-1E-A2 (HTF7500E),31.61,MTF,4.2,,
E545,AS-907-3-1E (TCDSN) -> EDB AS907-3-1E-A1/-A2/-A3 (HTF7500E),family,01P14HN016,AS907-3-1E-A3 (HTF7500E),33.83,MTF,4.2,,
E75S,CF34-8E5,exact,07P27GE226,CF34-8E5,59.694255876880298,TF,4.7243199999999996,,
E75S,CF34-8E5A1,exact,07P27GE227,CF34-8E5A1,62.497970498499001,TF,4.6903699999999997,,
F2TH,PW308C,exact,7PW080,PW308C,31.15,MTF,4.0999999999999996,Yes,Out of production
FA50,TFE731-3(-1C),exact,1AS002,TFE731-3,16.5,TF,2.64,,Out of production
FA7X,PW307A,exact,03P16PW192,PW307A,28.49,MTF,4.2,,
FA7X,PW307D,exact,03P15PW193,PW307D,29.91,MTF,4.2,,
G280,AS907-2-1G,exact,01P11HN012,AS907-2-1G (HTF7250G),32.86,MTF,4.2,,
GALX,PW306A,exact,7PW077,PW306A,26.87,MTF,4.5,,Out of production
GL5T,BR700-710A2-20,exact,01P04BR013,BR700-710A2-20,65.61,MTF,4.1900000000000004,,
GLEX,BR700-710A2-20,exact,01P04BR013,BR700-710A2-20,65.61,MTF,4.1900000000000004,,
GLF4,Tay 611-8C,exact,11RR048,TAY 611-8C,61.6,MTF,3.26,,Out of production
GLF5,BR700-710A1-10,exact,3BR001,BR700-710A1-10,65.61,MTF,4.2,,Out of production
GLF5,BR700-710A1-10,exact,4BR008,BR700-710A1-10,65.61,MTF,4.2,,Out of production
GLF5,BR700-710C4-11,exact,01P06BR014,BR700-710C4-11,68.77,MTF,4.05,,
H25B,TFE731-3,exact,1AS002,TFE731-3,16.5,TF,2.64,,Out of production
HA4T,PW308A,exact,01P07PW145,PW308A,30.71,MTF,4.0999999999999996,,
LJ35,TFE731-2-2B,exact,1AS001,TFE731-2-2B,15.6,TF,2.64,,Out of production
MD82,JT8D-217,exact,4PW068,JT8D-217,92.74,MTF,1.73,,Out of production
MD82,JT8D-217,exact,1PW018,JT8D-217 series,92.74,MTF,1.73,,Out of production
