# source: EUROCONTROL EEC Technical/Scientific Report No. 2010/008 'Coverage of 2009 European Air Traffic for BADA Revision 3.8', Annex B
# file data/aircraft_performance/bada/BADA_3.8_Coverage_2009_traffic.pdf sha256 d5f2fad85645b94f33806e8da67692a13c2282b26d05f54544226f54512faf79
# table = model | synonym | not_covered (the three Annex B lists); columns as printed: No./rank, ICAO ID, FULL_NAME (truncated in print), BADA_MODEL, TOTAL TRAFFIC, %TOTAL, RANK
# this is the newest PUBLIC per-type BADA list found; current BADA 3 (264 models + 1641 synonyms, Nov 2025) has no public per-type list
table,no,icao,full_name,bada_model,traffic_2009,pct,rank
synonym,281,E50P,EMBRAER PHENOM 100,C550,368,0.004%,281
synonym,524,EC20,EUROCOPTER EC-120,HELI,3,0.000%,524
synonym,208,EC45,EUROCOPTER EC-145,HELI,1160,0.012%,208
synonym,290,F5,FREEDOM FIGHTER/CF-5,FGTN,308,0.003%,290
synonym,187,G150,IAI GULFSTREAM 150,LJ35,1916,0.020%,187
synonym,136,GALX,IAI GALAXY,F2TH,5162,0.054%,136
synonym,158,GL5T,BD-700 GLOBAL 5000,C750,3338,0.035%,158
synonym,102,GLEX,CANADAIR BL-701 GLOB,C750,10497,0.110%,102
synonym,199,GLF3,GULFSTREAM 3,FA7X,1564,0.016%,199
synonym,76,GLF4,GULFSTREAM 4,FA7X,16109,0.169%,76
synonym,69,GLF5,GULFSTREAM 5,FA7X,19216,0.201%,69
synonym,44,H25B,HAWKER SIDDELEY HS-1,H25A,37362,0.392%,44
synonym,224,H25C,BRITISH AEROSPACE BA,FA20,869,0.009%,224
synonym,338,H47,BOEING VERTOL MH-47 CHINOOK,HELI,108,0.001%,338
synonym,262,H60,S-70,HELI,561,0.006%,262
synonym,180,LJ31,GATES LEARJET 31,LJ45,2143,0.022%,180
synonym,134,LJ40,LEARJET 40,LJ45,5230,0.055%,134
synonym,197,LJ55,GATES LEARJET 55,LJ45,1648,0.017%,197
synonym,90,LJ60,LEARJET 60,LJ45,12043,0.126%,90
synonym,153,M20P,M-20 NON TURBOCHARGE,TRIN,3693,0.039%,153
synonym,170,M20T,M-20 TURBOCHARGED,TRIN,2642,0.028%,170
synonym,119,MD88,BOEING MD-88,MD82,7948,0.083%,119
synonym,79,P180,P 180 AVANTI,C550,15283,0.160%,79
synonym,288,P28B,PA28-201/235/236,TRIN,319,0.003%,288
synonym,111,P28R,PIPER PA-28R-180/200,DA42,8853,0.093%,111
synonym,267,P32R,PIPER PA-32R CHEROKE,TRIN,498,0.005%,267
synonym,120,P46T,JETPROP DLX,BE9L,7933,0.083%,120
synonym,182,PA32,"PIPER CHEROKEE,...",TRIN,2097,0.022%,182
synonym,114,PA44,SEMINOLE,TRIN,8815,0.092%,114
synonym,78,PC12,PILATUS PC-12,BE9L,15804,0.166%,78
synonym,106,PRM1,RAYTHEON PREMIER 1,C560,9580,0.100%,106
synonym,124,S76,SIKORSKY S-76/H-76/A,HELI,6769,0.071%,124
synonym,306,SBR1,NORTH AMERICAN NA-26,FA10,245,0.003%,306
synonym,99,SR22,CIRRUS SR-22,TRIN,11023,0.116%,99
synonym,87,TBM7,TBM 700,PAY3,13111,0.137%,87
synonym,201,TBM8,TBM8,BE20,1489,0.016%,201
synonym,430,WW24,WESTWIND,FA10,12,0.000%,430
not_covered,251,AC11,COMMANDER 112/114,,638,0.007%,251
not_covered,510,AN2,AN-2,,4,0.000%,510
not_covered,383,B36T,ALLISON 36 TURBINE B,,33,0.000%,383
not_covered,414,BE23,SUNDOWNER 2/MUSKET23,,16,0.000%,414
not_covered,238,BE35,BONANZA 35,,773,0.008%,238
not_covered,554,BL17,BELLANCA 17 VIKING/S,,2,0.000%,554
not_covered,456,C150,CESSNA 150,,8,0.000%,456
not_covered,326,C152,CESSNA 152,,135,0.001%,326
not_covered,432,C180,SKYWAGON 180,,12,0.000%,432
not_covered,400,C185,SKYWAGON 185,,22,0.000%,400
not_covered,148,C27J,ALENIA C-27J SPARTAN,,4292,0.045%,148
not_covered,330,COL3,LANCAIR LC-40,,129,0.001%,330
not_covered,643,CRUZ,CZAW SPORTCRUISER,,1,0.000%,643
not_covered,122,DA40,DIAMOND DA-40 KATANA,,7447,0.078%,122
not_covered,163,DHC6,DE HAVILLAND CANADA,,3041,0.032%,163
not_covered,617,G200,AKROTECH G-200,,1,0.000%,617
not_covered,446,GA8,GIPPSLAND GA-8 AIRVA,,10,0.000%,446
not_covered,282,HA4T,RAYTHEON 4000 HAWKER,4000,359,0.004%,282
not_covered,621,HUSK,CHRISTEN A-1 HUSKY,,1,0.000%,621
not_covered,225,P210,CESSNA P210 PRESSURI,,867,0.009%,225
not_covered,304,P32T,PIPER PA-32RT LANCE,,257,0.003%,304
not_covered,296,PA24,COMACHE,,280,0.003%,296
not_covered,391,PA38,TOMAHAWK,,26,0.000%,391
not_covered,131,PA46,MALIBU,,5563,0.058%,131
not_covered,278,PC7,PILATUS PC-7 TURBO,,392,0.004%,278
not_covered,169,SR20,CIRRUS SR-20,,2651,0.028%,169
not_covered,339,T38,TALON,,106,0.001%,339
not_covered,334,TEX2,RAYTHEON T-6,,118,0.001%,334
