type_designator,class,engine_number_type_faa_weight_class,icao_wtc,cwt,srs,lahso_group,pdf_page
GY10,Fixed-wing,1P/S,Light,I,I,,62
GY20,Fixed-wing,1P/S,Light,I,I,,62
GY30,Fixed-wing,1P/S,Light,I,I,,62
GY80,Fixed-wing,1P/S,Light,I,I,,62
H111,Fixed-wing,2P/S+,Medium,H,III,,62
H12T,Helicopter,1T/S,Light,I,I,,62
H160,Helicopter,2T/S+,Light,I,I,,62
H2,Helicopter,2T/S+,Light,I,I,,63
H202,Fixed-wing,1P/S,Light,I,I,,63
H207,Fixed-wing,1P/S,Light,I,I,,63
H21,Helicopter,1P/S+,Light,I,I,,63
H25A,Fixed-wing,2J/S+,Medium,H,III,6,63
H25B,Fixed-wing,2J/S+,Medium,H,III,7,63
H25C,Fixed-wing,2J/S+,Medium,H,III,7,63
H269,Helicopter,1P/S,Light,I,I,,63
H40,Fixed-wing,1P/S,Light,I,I,,63
H43A,Helicopter,1P/S,Light,I,I,,63
H43B,Helicopter,1T/S,Light,I,I,,63
H46,Helicopter,2T/S+,Medium,H,I,,64
H47,Helicopter,2T/L,Medium,G,I,,64
H500,Helicopter,1T/S,Light,I,I,,64
H53,Helicopter,2T/L,Medium,G,I,,65
H53S,Helicopter,3T/L,Medium,G,I,,65
H60,Helicopter,2T/S+,Medium,H,I,,65
H64,Helicopter,2T/S+,Medium,H,I,,65
HA2,Gyroplane,1P/S,Light,I,I,,65
HA31,Fixed-wing,1P/S,Light,I,I,,65
HA4T,Fixed-wing,2J/S+,Medium,H,III,7,65
HAHU,Fixed-wing,1P/S,Light,I,I,,65
HAR*,Fixed-wing,1J/L,Medium,G,III,,66
HAW3,Gyroplane,1P/S,Light,I,I,,66
HAWK*,Fixed-wing,1J/S+,Light/Medium,H,III,,66
HB21,Fixed-wing,1P/S,Light,I,I,,66
HB23,Fixed-wing,1P/S,Light,I,I,,66
HB3,Fixed-wing,1P/S,Light,I,I,,66
HCAT,Fixed-wing,1P/S+,Light,I,III,,66
HD34,Fixed-wing,2P/S+,Medium,H,III,,66
HDJT,Fixed-wing,2J/S,Light,I,III,4,66
HEAD,Fixed-wing,1P/S,Light,I,I,,66
HERN,Fixed-wing,4P/S+,Light,I,III,8,66
HF20,Fixed-wing,2J/S+,Medium,H,III,7,66
HI27,Fixed-wing,1P/S,Light,I,I,,66
HIGH,Fixed-wing,1P/S,Light,I,I,,66
HIND,Fixed-wing,1P/S,Light,I,I,,66
HL2,Fixed-wing,1P/S,Light,I,I,,66
HLD4,Fixed-wing,1P/S,Light,I,I,,66
HM38,Fixed-wing,1P/S,Light,I,I,,66
HN70,Fixed-wing,1P/S,Light,I,I,,66
HORN,Fixed-wing,1P/S,Light,I,I,,66
HORZ,Fixed-wing,1P/S,Light,I,I,,66
HR10,Fixed-wing,1P/S,Light,I,I,,66
HR20,Fixed-wing,1P/S,Light,I,I,,66
HRNT,Fixed-wing,1P/S,Light,I,I,,66
HROC,Fixed-wing,1P/S,Light,I,I,,66
HSMT,Helicopter,1P/S,Light,I,I,,67
HT16*,Fixed-wing,1J/S,Light,I,III,,67
HT2,Fixed-wing,1P/S,Light,I,I,,67
HT36*,Fixed-wing,1J/S,Light,I,III,,67
HT40,Fixed-wing,1T/S,Light,I,I,,67
HU1,Fixed-wing,1P/S,Light,I,I,,67
HU2,Fixed-wing,1P/S,Light,I,I,,67
HUCO,Helicopter,1T/S,Light,I,I,,67
HUML,Fixed-wing,1P/S,Light,I,I,,67
HUNT*,Fixed-wing,1J/S+,Medium,H,III,,67
HURI,Fixed-wing,1P/S,Light,I,I,,67
HURK,Fixed-wing,1T/S,Light,I,I,,67
HUSK,Fixed-wing,1P/S,Light,I,I,,67
HW4P,Gyroplane,1P/S,Light,I,I,,67
HW4T,Gyroplane,1T/S,Light,I,I,,67
HX2,Helicopter,1T/S,Light,I,I,,67
HYPR,Fixed-wing,1P/S,Light,I,I,,67
I103,Fixed-wing,1P/S,Light,I,I,,67
I114,Fixed-wing,2T/L,Medium,F,III,,67
I115,Fixed-wing,1P/S,Light,I,I,,67
I11B,Fixed-wing,1P/S,Light,I,I,,67
I153,Fixed-wing,1P/S,Light,I,I,,67
I15B,Fixed-wing,1P/S,Light,I,I,,67
I16,Fixed-wing,1P/S,Light,I,I,,67
I22*,Fixed-wing,1J/S+,Medium,H,III,,67
I23,Fixed-wing,1P/S,Light,I,I,,67
I3,Fixed-wing,1P/S,Light,I,I,,67
I66,Fixed-wing,1P/S,Light,I,I,,67
IA46,Fixed-wing,1P/S,Light,I,I,,67
IA58,Fixed-wing,2T/S+,Light,I,III,,67
IA63*,Fixed-wing,1J/S,Light,I,III,,67
IFUR,Fixed-wing,1P/S,Light,I,I,,67
IL14,Fixed-wing,2P/S+,Medium,H,III,,67
IL18,Fixed-wing,4T/L,Medium,F,III,,67
IL28,Fixed-wing,2J/L,Medium,G,III,,67
IL38,Fixed-wing,4T/L,Medium,F,III,,67
IL62,Fixed-wing,4J/H,Heavy,D,III,,67
IL76,Fixed-wing,4J/H,Heavy,D,III,,68
IL86,Fixed-wing,4J/H,Heavy,D,III,,68
IL96,Fixed-wing,4J/H,Heavy,D,III,,68
IMPU,Fixed-wing,1P/S,Light,I,I,,68
INCQ,Fixed-wing,1P/S,Light,I,I,,68
INEC,Fixed-wing,1P/S,Light,I,I,,68
INEX,Fixed-wing,1P/S,Light,I,I,,68
INTG,Fixed-wing,1P/S,Light,I,I,,68
ION,Fixed-wing,1P/S,Light,I,I,,68
IP06,Fixed-wing,1P/S,Light,I,I,,68
IP10,Fixed-wing,1P/S,Light,I,I,,68
IP26,Fixed-wing,1P/S,Light,I,I,,68
IP6A,Fixed-wing,1P/S,Light,I,I,,68
IPAN,Fixed-wing,1P/S,Light,I,I,,68
IR22,Fixed-wing,1P/S,Light,I,I,,68
IR23,Fixed-wing,1P/S,Light,I,I,,68
IR24,Fixed-wing,1P/S,Light,I,I,,68
IR25,Fixed-wing,1T/S,Light,I,I,,68
IR27,Fixed-wing,1P/S,Light,I,I,,68
IR28,Fixed-wing,1P/S,Light,I,I,,68
IR46,Fixed-wing,1P/S,Light,I,I,,68
IR99*,Fixed-wing,1J/S,Light,I,III,,68
IRBS,Fixed-wing,1P/S,Light,I,I,,68
IS2,Helicopter,1P/S,Light,I,I,,68
IS28,Fixed-wing,1P/S,Light,I,I,,68
ISAT,Fixed-wing,1P/S,Light,I,I,,68
ISPT,Fixed-wing,1P/S,Light,I,I,,68
J1,Fixed-wing,1P/S,Light,I,I,,68
J10*,Fixed-wing,1J/S+,Medium,H,III,,68
J177,Fixed-wing,1P/S,Light,I,I,,68
J2,Fixed-wing,1P/S,Light,I,I,1,68
J20*,Fixed-wing,2J/L,Medium,G,III,,68
J3,Fixed-wing,1P/S,Light,I,I,1,69
J300,Fixed-wing,1P/S,Light,I,I,,69
J328,Fixed-wing,2J/S+,Medium,H,III,6,69
J4,Fixed-wing,1P/S,Light,I,I,1,69
J400,Fixed-wing,1P/S,Light,I,I,,69
J40E,Fixed-wing,1E/S,Light,I,I,,69
J4B2,Gyroplane,1P/S,Light,I,I,,69
J5,Fixed-wing,1P/S,Light,I,I,1,69
J600,Fixed-wing,1P/S,Light,I,I,,69
J8A*,Fixed-wing,2J/S+,Medium,H,III,,69
J8B*,Fixed-wing,2J/S+,Medium,H,III,,69
JAB2,Fixed-wing,1P/S,Light,I,I,,69
JAB4,Fixed-wing,1P/S,Light,I,I,,69
JABI,Fixed-wing,1P/S,Light,I,I,,69
JACE,Fixed-wing,1P/S,Light,I,I,,69
JAG2,Helicopter,1T/S,Light,I,I,,69
JAGR*,Fixed-wing,2J/S+,Medium,H,III,,70
JAJ5,Fixed-wing,1P/S,Light,I,I,,70
JAJ6,Fixed-wing,1P/S,Light,I,I,,70
JANU,Fixed-wing,1P/S,Light,I,I,,70
JARO,Fixed-wing,1P/S,Light,I,I,,70
JAS4,Powered-lift,6E/S,Light,I,III,,70
JAST*,Fixed-wing,1J/S,Light,I,III,,70
JB15,Fixed-wing,1P/S,Light,I,I,,70
JC01,Fixed-wing,1P/S,Light,I,I,,70
JC02,Fixed-wing,1P/S,Light,I,I,,70
JCOM,Fixed-wing,2J/S+,Medium,H,III,9,70
JCRU,Fixed-wing,1T/S,Light,I,I,,70
JD2,Fixed-wing,1P/S,Light,I,I,,70
JDOE,Fixed-wing,1P/S,Light,I,I,,70
JE2,Gyroplane,1P/S,Light,I,I,,70
JFOX,Fixed-wing,1P/S,Light,I,I,,70
JH7*,Fixed-wing,2J/L,Medium,G,III,,70
JK05,Fixed-wing,1P/S,Light,I,I,,70
JL9*,Fixed-wing,1J/S+,Medium,H,III,,70
JN76,Fixed-wing,1P/S,Light,I,I,,70
JPM1,Fixed-wing,1P/S,Light,I,I,,70
JPRO*,Fixed-wing,1J/S,Light,I,III,,70
JRC1,Fixed-wing,1P/S,Light,I,I,,70
JS1J,Fixed-wing,1J/S,Light,I,III,,70
JS2J,Fixed-wing,1J/S,Light,I,III,,70
JS2P,Fixed-wing,1P/S,Light,I,I,,70
JS3,Fixed-wing,2T/S,Light,I,II,,70
JS31,Fixed-wing,2T/S+,Light/Medium,H,III,5,70
JS32,Fixed-wing,2T/S+,Medium,H,III,5,70
JS3E,Fixed-wing,1E/S,Light,I,I,,70
JS3J,Fixed-wing,1J/S,Light,I,III,,70
JS41,Fixed-wing,2T/S+,Medium,H,III,7,70
JSX,Fixed-wing,1J/S,Light,I,III,,70
JT2,Fixed-wing,1P/S,Light,I,I,,70
JU52,Fixed-wing,3P/S+,Medium,H,III,,71
JUN1,Fixed-wing,1P/S,Light,I,I,,71
JUN2,Fixed-wing,1P/S,Light,I,I,,71
JUNR,Fixed-wing,1P/S,Light,I,I,,71
JUPI,Fixed-wing,1P/S,Light,I,I,,71
K100,Fixed-wing,1T/S,Light,I,I,1,71
K126,Helicopter,1T/S,Light,I,I,,71
K209,Helicopter,1T/S,Light,I,I,,71
K226,Helicopter,2T/S,Light,I,I,,71
K35E,Fixed-wing,4J/H,Heavy,D,III,,71
K35R,Fixed-wing,4J/H,Heavy,C,III,,71
K50*,Fixed-wing,1J/S+,Medium,H,III,,71
K51,Fixed-wing,1P/S,Light,I,I,,71
K8*,Fixed-wing,1J/S,Light,I,III,,71
K900,Fixed-wing,1T/S,Light,I,I,,71
KA25,Helicopter,2T/S+,Medium,H,I,,71
KA26,Helicopter,2P/S,Light,I,I,,71
KA27,Helicopter,2T/S+,Medium,H,I,,71
KA50,Helicopter,2T/S+,Medium,H,I,,71
KA52,Helicopter,2T/S+,Medium,H,I,,71
KA62,Helicopter,2T/S+,Light,I,I,,71
KAK1,Fixed-wing,1P/S,Light,I,I,,71
KAK3,Fixed-wing,1P/S,Light,I,I,,71
KAT3,Fixed-wing,1T/S,Light,I,I,,71
KATB,Fixed-wing,2P/S,Light,I,II,,71
KATR,Fixed-wing,1P/S,Light,I,I,,71
KC2,Fixed-wing,2J/H,Heavy,C,III,,71
KE3,Fixed-wing,4J/H,Heavy,D,III,,71
KEHA,Fixed-wing,1P/S,Light,I,I,,71
KELA,Fixed-wing,1P/S,Light,I,I,,71
KELD,Fixed-wing,1P/S,Light,I,I,,71
KERO,Fixed-wing,1P/S,Light,I,I,,71
KEST,Fixed-wing,1T/S,Light,I,I,,71
KFAB,Fixed-wing,1P/S,Light,I,I,,71
KFAS,Fixed-wing,1P/S,Light,I,I,,71
KFIR*,Fixed-wing,1J/S+,Medium,H,III,,71
KFIS,@Fixed-wing,1P/S,Light,I,I,,72
KH4,Helicopter,1P/S,Light,I,I,,72
KIS2,Fixed-wing,1P/S,Light,I,I,,72
KIS4,Fixed-wing,1P/S,Light,I,I,,72
KITH,Fixed-wing,1P/S,Light,I,I,,72
KITI,Fixed-wing,1P/S,Light,I,I,,72
KIWI,Fixed-wing,1P/S,Light,I,I,,72
KK60,Fixed-wing,1P/S,Light,I,I,,72
KL07,Fixed-wing,1P/S,Light,I,I,,72
KL10,Fixed-wing,1P/S,Light,I,I,,72
KL25,Fixed-wing,1P/S,Light,I,I,,72
KL35,Fixed-wing,1P/S,Light,I,I,,72
KLBR,Fixed-wing,1P/S,Light,I,I,,72
KM2,Fixed-wing,1P/S,Light,I,I,,72
KMAX,Helicopter,1T/S,Light,I,I,,72
KNTW,Fixed-wing,1P/S,Light,I,I,,72
KOLL,Fixed-wing,1P/S,Light,I,I,,72
KP2,Fixed-wing,1P/S,Light,I,I,,72
KP5,Fixed-wing,1P/S,Light,I,I,,72
KR1,Fixed-wing,1P/S,Light,I,I,,72
KR2,Fixed-wing,1P/S,Light,I,I,,72
KR21,Fixed-wing,1P/S,Light,I,I,,72
KR30,Fixed-wing,1P/S,Light,I,I,,72
KR31,Fixed-wing,1P/S,Light,I,I,,72
KR34,Fixed-wing,1P/S,Light,I,I,,72
KRAG,Fixed-wing,1P/S,Light,I,I,,72
KRAH,Fixed-wing,1P/S,Light,I,I,,72
KRIC,Fixed-wing,1P/S,Light,I,I,,72
KSTK,Fixed-wing,2P/S,Light,I,II,,72
KT1,Fixed-wing,1T/S,Light,I,I,,72
KTOO,Fixed-wing,1P/S,Light,I,I,,72
KZ2,Fixed-wing,1P/S,Light,I,I,,72
KZ3,Fixed-wing,1P/S,Light,I,I,,72
KZ4,Fixed-wing,2P/S,Light,I,II,,73
KZ7,Fixed-wing,1P/S,Light,I,I,,73
KZ8,Fixed-wing,1P/S,Light,I,I,,73
L10,Fixed-wing,2P/S,Light,I,II,,73
L101,Fixed-wing,3J/H,Heavy,D,III,9,73
L11,Fixed-wing,1P/S,Light,I,I,,73
L11E,Fixed-wing,1P/S,Light,I,I,,73
L12,Fixed-wing,2P/S,Light,I,II,,73
L13,Fixed-wing,1P/S,Light,I,I,,73
L13M,Fixed-wing,1P/S,Light,I,I,,73
L13S,Fixed-wing,1P/S,Light,I,I,,73
L14,Fixed-wing,2P/S+,Medium,H,III,,73
L15*,Fixed-wing,2J/S+,Medium,H,III,,73
L159*,Fixed-wing,1J/S+,Medium,H,III,,73
L18,Fixed-wing,2P/L,Medium,G,III,8,73
L181,Fixed-wing,1P/S,Light,I,I,,73
L188,Fixed-wing,4T/L,Medium,F,III,7,73
L200,Fixed-wing,2P/S,Light,I,II,,73
L29*,Fixed-wing,1J/S,Light,I,III,,73
L29A,Fixed-wing,4J/L,Medium,G,III,8,73
L29B,Fixed-wing,4J/L,Medium,G,III,9,73
L37,Fixed-wing,2P/S+,Medium,H,III,,73
L380,Fixed-wing,1P/S,Light,I,I,,73
L39*,Fixed-wing,1J/S,Light,I,III,,73
L4,@Fixed-wing,2P/S,Light,I,II,,73
L40,Fixed-wing,1P/S,Light,I,I,,73
L410,Fixed-wing,2T/S+,Light,I,III,,73
L5,Fixed-wing,1P/S,Light,I,I,,73
L59*,Fixed-wing,1J/S+,Light,I,III,,73
L6,@Fixed-wing,2P/S,Light,I,II,,73
L60,Fixed-wing,1P/S,Light,I,I,,74
L610,Fixed-wing,2T/S+,Medium,H,III,,74
L70,Fixed-wing,1P/S,Light,I,I,,74
L8,Fixed-wing,1P/S,Light,I,I,3,74
L90,Fixed-wing,1T/S,Light,I,I,,74
LA25,@Fixed-wing,1P/S,Light,I,I,2,74
LA4,@Fixed-wing,1P/S,Light,I,I,2,74
LA60,Fixed-wing,1P/S,Light,I,I,,74
LA6T,Fixed-wing,1T/S,Light,I,I,,74
LA8,@Fixed-wing,2P/S,Light,I,II,,74
LACO,Fixed-wing,1P/S,Light,I,I,,74
LAE1,Fixed-wing,1E/S,Light,I,I,,74
LAKR,Fixed-wing,1P/S,Light,I,I,,74
LAKX,Fixed-wing,1P/S,Light,I,I,,74
LAMA,Helicopter,1T/S,Light,I,I,,74
LANC,Fixed-wing,4P/L,Medium,F,III,,74
LAR1,Fixed-wing,1J/S,Light,I,III,,74
LARK,Fixed-wing,1P/S,Light,I,I,1,74
LAST,Fixed-wing,1P/S,Light,I,I,,74
LBUG,Fixed-wing,1P/S,Light,I,I,,74
LCA*,Fixed-wing,1J/S+,Medium,H,III,,74
LCB,Fixed-wing,1P/S,Light,I,I,,74
LCH,Helicopter,2T/S,Light,I,I,,74
LCR,Fixed-wing,1P/S,Light,I,I,,74
LEG2,Fixed-wing,1P/S,Light,I,I,,74
LEGD,Fixed-wing,1P/S,Light,I,I,,74
LESP,Fixed-wing,1P/S,Light,I,I,,74
LEVI,Fixed-wing,1P/S,Light,I,I,,74
LGEZ,Fixed-wing,1P/S,Light,I,I,,75
LGND,Fixed-wing,1P/S,Light,I,I,,75
LH10,Fixed-wing,1P/S,Light,I,I,,75
LIBE,Fixed-wing,1P/S,Light,I,I,,75
LION,Fixed-wing,1P/S,Light,I,I,,75
LJ23,Fixed-wing,2J/S,Light,I,III,8,75
LJ24,Fixed-wing,2J/S+,Light,I,III,7,75
LJ25,Fixed-wing,2J/S+,Light,I,III,9,75
LJ28,Fixed-wing,2J/S+,Light,I,III,7,75
LJ31,Fixed-wing,2J/S+,Medium,H,III,7,75
LJ35,Fixed-wing,2J/S+,Medium,H,III,9,75
LJ40,Fixed-wing,2J/S+,Medium,H,III,6,75
LJ45,Fixed-wing,2J/S+,Medium,H,III,6,75
LJ55,Fixed-wing,2J/S+,Medium,H,III,8,75
LJ60,Fixed-wing,2J/S+,Medium,H,III,8,75
LJ70,Fixed-wing,2J/S+,Medium,H,III,6,75
LJ75,Fixed-wing,2J/S+,Medium,H,III,6,75
LK17,Fixed-wing,1P/S,Light,I,I,,75
LK19,Fixed-wing,1P/S,Light,I,I,,75
LK20,Fixed-wing,1P/S,Light,I,I,,75
LK7E,Fixed-wing,1E/S,Light,I,I,,75
LM5,Fixed-wing,1P/S,Light,I,I,,75
LM5X,Fixed-wing,1P/S,Light,I,I,,75
LM7,Fixed-wing,1P/S,Light,I,I,,75
LMC1,Fixed-wing,1P/S,Light,I,I,,75
LMK1,Fixed-wing,1P/S,Light,I,I,,75
LN27,Fixed-wing,1P/S,Light,I,I,,75
LN3,@Fixed-wing,1P/S,Light,I,I,,75
LNC2,Fixed-wing,1P/S,Light,I,I,,75
LNC4,Fixed-wing,1P/S,Light,I,I,,76
LNCE,Fixed-wing,1P/S,Light,I,I,,76
LNP4,Fixed-wing,1T/S,Light,I,I,,76
LNT4,Fixed-wing,1T/S,Light,I,I,,76
LOCA,Fixed-wing,1P/S,Light,I,I,,76
LOVE,Fixed-wing,1P/S,Light,I,I,,76
LP1,Fixed-wing,1P/S,Light,I,I,,76
LR2T,Helicopter,1T/S,Light,I,I,,76
LS10,Fixed-wing,1P/S,Light,I,I,,76
LS2,Fixed-wing,1P/S,Light,I,I,,76
LS8,Fixed-wing,1P/S,Light,I,I,,76
LS9,Fixed-wing,1P/S,Light,I,I,,76
LSTR,Fixed-wing,1P/S,Light,I,I,,76
LTNG*,Fixed-wing,2J/L,Medium,G,III,,76
LUL5,Fixed-wing,1P/S,Light,I,I,,76
LUL6,Fixed-wing,1P/S,Light,I,I,,76
LUL7,Fixed-wing,1P/S,Light,I,I,,76
LUL8,Fixed-wing,1P/S,Light,I,I,,76
LV51,Fixed-wing,1P/S,Light,I,I,,76
LW20,Fixed-wing,1P/S,Light,I,I,,76
LW40,Fixed-wing,1P/S,Light,I,I,,76
LWIN,Fixed-wing,1P/S,Light,I,I,,76
LX32,Fixed-wing,1P/S,Light,I,I,,76
LX34,Fixed-wing,1P/S,Light,I,I,,76
LXR,Fixed-wing,1P/S,Light,I,I,,76
LYNX,Helicopter,2T/S,Light,I,I,,76
LYSA,Fixed-wing,1P/S,Light,I,I,,76
M10,Fixed-wing,1P/S,Light,I,I,1,76
M101,Fixed-wing,1T/S,Light,I,I,,76
M106,Fixed-wing,1P/S,Light,I,I,,76
M108,Fixed-wing,1P/S,Light,I,I,,76
M110,Fixed-wing,1P/S,Light,I,I,,76
M15,Fixed-wing,1J/S,Light,I,III,,76
M17*,Fixed-wing,1J/L,Medium,F,III,,76
M18,Fixed-wing,1P/S,Light,I,I,,76
M18T,Fixed-wing,1T/S,Light,I,I,,77
M2,Fixed-wing,1P/S,Light,I,I,,77
M200,Fixed-wing,1P/S,Light,I,I,1,77
M203,Fixed-wing,1P/S,Light,I,I,,77
M20P,Fixed-wing,1P/S,Light,I,I,4,77
M20T,Fixed-wing,1P/S,Light,I,I,6,77
M21,Fixed-wing,1P/S,Light,I,I,,77
M212,Fixed-wing,1P/S,Light,I,I,,77
M22,Fixed-wing,1P/S,Light,I,I,3,77
M24,Fixed-wing,1P/S,Light,I,I,,77
M26,Fixed-wing,1P/S,Light,I,I,,77
M28,Fixed-wing,2T/S+,Light/Medium,H,III,,77
M2HK,Fixed-wing,1P/S,Light,I,I,,77
M308,Fixed-wing,1P/S,Light,I,I,,77
M326*,Fixed-wing,1J/S,Light,I,III,,77
M339*,Fixed-wing,1J/S+,Light,I,III,,77
M345*,Fixed-wing,1J/S,Light,I,III,,77
M346*,Fixed-wing,2J/S+,Medium,H,III,,78
M360,Fixed-wing,1P/S,Light,I,I,,78
M36J,Fixed-wing,2P/S,Light,I,II,,78
M4,Fixed-wing,1P/S,Light,I,I,1,78
M404,Fixed-wing,2P/L,Medium,F,III,3,78
M5,Fixed-wing,1P/S,Light,I,I,1,78
M55*,Fixed-wing,2J/L,Medium,F,III,,78
M6,Fixed-wing,1P/S,Light,I,I,1,78
M600,Fixed-wing,1T/S,Light,I,I,5,78
M7,Fixed-wing,1P/S,Light,I,I,1,78
M700,Fixed-wing,1T/S,Light,I,I,,78
M74,Helicopter,1P/S,Light,I,I,,78
M7T,Fixed-wing,1T/S,Light,I,I,1,78
M8,Fixed-wing,1P/S,Light,I,I,,78
M9,Fixed-wing,1P/S,Light,I,I,,78
MA1,Fixed-wing,1P/S,Light,I,I,,78
MA5,Fixed-wing,1P/S,Light,I,I,,78
MA60,Fixed-wing,2T/L,Medium,F,III,,78
MA6H,Fixed-wing,2T/L,Medium,F,III,,78
MAGC,Fixed-wing,1P/S,Light,I,I,,78
MAGI,Fixed-wing,1P/S,Light,I,I,,78
MAGN,Fixed-wing,1P/S,Light,I,I,,78
MAJR,Fixed-wing,1P/S,Light,I,I,,78
MAKO,Fixed-wing,1P/S,Light,I,I,,78
MAMB,Fixed-wing,1P/S,Light,I,I,,78
MAME,Fixed-wing,1P/S,Light,I,I,,78
MARS,$Fixed-wing,4P/L,Medium,F,III,,79
MAVR,Fixed-wing,1P/S,Light,I,I,,79
MC01,Fixed-wing,1P/S,Light,I,I,,79
MC10,Fixed-wing,2P/S,Light,I,II,,79
MC23,Fixed-wing,2J/L,Medium,F,III,,79
MC45,Fixed-wing,1P/S,Light,I,I,,79
MC90,Fixed-wing,1P/S,Light,I,I,,79
MCOU,Fixed-wing,1P/S,Light,I,I,,79
MCOY,Fixed-wing,1P/S,Light,I,I,,79
MCR1,Fixed-wing,1P/S,Light,I,I,,79
MCR4,Fixed-wing,1P/S,Light,I,I,,79
MCRR,Fixed-wing,1P/S,Light,I,I,,79
MCUL,Fixed-wing,1P/S,Light,I,I,,79
MD11,Fixed-wing,3J/H,Heavy,C,III,9,79
MD3,Fixed-wing,1P/S,Light,I,I,,79
MD3R,Fixed-wing,1P/S,Light,I,I,,79
MD52,Helicopter,1T/S,Light,I,I,,79
MD60,Helicopter,1T/S,Light,I,I,,79
MD81,Fixed-wing,2J/L,Medium,F,III,7,79
MD82,Fixed-wing,2J/L,Medium,F,III,7,79
MD83,Fixed-wing,2J/L,Medium,F,III,8,79
MD87,Fixed-wing,2J/L,Medium,F,III,7,79
MD88,Fixed-wing,2J/L,Medium,F,III,8,79
MD90,Fixed-wing,2J/L,Medium,F,III,8,79
MDNT,Powered-lift,12E/S,,I,III,,79
ME08,Fixed-wing,1P/S,Light,I,I,1,79
ME09,Fixed-wing,1P/S,Light,I,I,,79
ME62*,Fixed-wing,2J/S+,Light,I,III,,79
MEAD,Fixed-wing,1P/S,Light,I,I,,79
MEL2,Fixed-wing,1P/S,Light,I,I,,79
MERK,Fixed-wing,2P/S,Light,I,II,,79
MESS,Fixed-wing,1P/S,Light,I,I,,80
METR*,Fixed-wing,2J/S+,Medium,H,III,,80
MEXP,Fixed-wing,1P/S,Light,I,I,,80
MF10,Fixed-wing,1P/S,Light,I,I,,80
MF17,Fixed-wing,1P/S,Light,I,I,,80
MG15*,Fixed-wing,1J/S+,Light,I,III,,80
MG17*,Fixed-wing,1J/S+,Light,I,III,,80
MG19*,Fixed-wing,2J/S+,Medium,H,III,,80
MG21*,Fixed-wing,1J/S+,Medium,H,III,,80
MG23*,Fixed-wing,1J/S+,Medium,H,III,,80
MG25*,Fixed-wing,2J/L,Medium,G,III,,80
MG29*,Fixed-wing,2J/L,Medium,G,III,,80
MG31*,Fixed-wing,2J/L,Medium,G,III,,80
MG44*,Fixed-wing,2J/L,Medium,G,III,,80
MGAT*,Fixed-wing,1J/S+,Light,I,III,,80
MGIC,Fixed-wing,1P/S,Light,I,I,,80
MGNM,Fixed-wing,1P/S,Light,I,I,,80
MH20,Helicopter,2T/S,Light,I,I,,80
MH46,Fixed-wing,1P/S,Light,I,I,,81
MI10,Helicopter,2T/L,Medium,F,I,,81
MI14,Helicopter,2T/S+,Medium,H,I,,81
MI2,Helicopter,2T/S,Light,I,I,,81
MI24,Helicopter,2T/S+,Medium,H,I,,81
MI26,Helicopter,2T/L,Medium,F,I,,81
MI28,Helicopter,2T/S+,Medium,H,I,,81
MI34,Helicopter,1P/S,Light,I,I,,81
MI38,Helicopter,2T/S+,Medium,H,I,,81
MI4,Helicopter,1P/S+,Light,I,I,,81
MI6,Helicopter,2T/L,Medium,F,I,,81
MI8,Helicopter,2T/S+,Medium,H,I,,81
MIDR,Fixed-wing,1P/S,Light,I,I,,81
MIMP,Fixed-wing,1P/S,Light,I,I,,81
MIMU,Fixed-wing,1P/S,Light,I,I,,81
MIR2*,Fixed-wing,1J/S+,Medium,H,III,,81
MIRA*,Fixed-wing,1J/S+,Medium,H,III,,81
MITE,Fixed-wing,1P/S,Light,I,I,1,81
MJ10,Fixed-wing,1P/S,Light,I,I,,81
MJ12,Fixed-wing,1P/S,Light,I,I,,81
MJ1H,Fixed-wing,1P/S,Light,I,I,,81
MJ2,Fixed-wing,1P/S,Light,I,I,,81
MJ4,Fixed-wing,1P/S,Light,I,I,,81
MJ5,Fixed-wing,1P/S,Light,I,I,,81
MJ51,Fixed-wing,1P/S,Light,I,I,,81
MJ53,Fixed-wing,1P/S,Light,I,I,,81
MJ7,Fixed-wing,1P/S,Light,I,I,,81
MJ77,Fixed-wing,1P/S,Light,I,I,,81
MJ8,Fixed-wing,1P/S,Light,I,I,,81
MJ80,Fixed-wing,1P/S,Light,I,I,,81
MJ9,Fixed-wing,1P/S,Light,I,I,,81
MJ90,Fixed-wing,1P/S,Light,I,I,,81
MLER,Fixed-wing,1P/S,Light,I,I,,81
MM14,Gyroplane,1P/S,Light,I,I,,82
MM16,Gyroplane,1P/S,Light,I,I,,82
MM19,Gyroplane,1P/S,Light,I,I,,82
MM21,Gyroplane,1P/S,Light,I,I,,82
MM22,Gyroplane,1P/S,Light,I,I,,82
MM24,Gyroplane,1P/S,Light,I,I,,82
MMAX,Gyroplane,1P/S,Light,I,I,,82
MMUT,Fixed-wing,1P/S,Light,I,I,,82
MNEX,Fixed-wing,1P/S,Light,I,I,,82
MOCU,Fixed-wing,1P/S,Light,I,I,,82
MOGO,Fixed-wing,1P/S,Light,I,I,,82
MOL1,Fixed-wing,1P/S,Light,I,I,,82
MON2,Fixed-wing,1P/S,Light,I,I,,82
MONA,Fixed-wing,1P/S,Light,I,I,,82
MONI,Fixed-wing,1P/S,Light,I,I,,82
MOR2,Fixed-wing,1P/S,Light,I,I,,82
MOSP,Fixed-wing,1P/S,Light,I,I,,82
